cve_unica,id_materia,grupo
1,2002,2
1,2150,1
1,2151,1
1,2229,1
1,2805,2
1,71,8
1,1005,1
1,711,2
2,2002,2
2,2229,1
2,2805,1
2,2150,1
2,2151,3
2,71,8
2,1005,1
2,711,2
3,3390,1
3,3119,1
3,3130,1
3,3191,1
3,0,1
3,41,8
3,51,10
3,61,12
3,1005,1
3,1120,1
3,611,5
4,2002,2
4,2229,1
4,2805,1
4,2150,1
4,2151,3
4,71,8
4,1005,1
4,711,2
5,3390,1
5,3119,1
5,3130,1
5,3191,1
5,0,1
5,41,8
5,51,10
5,61,12
5,1005,1
5,1120,1
5,611,5
6,5916,1
6,5900,1
6,0,4
6,41,8
6,51,10
6,61,11
6,71,2
6,1005,1
6,1120,1
6,611,5
6,711,6
7,3390,1
7,3119,1
7,3130,1
7,3191,1
7,0,1
7,41,8
7,51,10
7,61,12
7,1005,1
7,1120,1
7,611,5
8,2002,2
8,2229,1
8,2805,1
8,2150,1
8,2151,3
8,71,8
8,1005,1
8,711,2
9,2002,2
9,2150,1
9,2151,1
9,2229,1
9,2805,2
9,71,8
9,1005,1
9,711,2
10,2002,2
10,2229,1
10,2805,1
10,2150,1
10,2151,3
10,71,8
10,1005,1
10,711,2
11,2002,2
11,2229,1
11,2805,1
11,2150,1
11,2151,3
11,71,8
11,1005,1
11,711,2
12,2002,2
12,2229,1
12,2805,1
12,2150,1
12,2151,3
12,71,8
12,1005,1
12,711,2
13,2002,2
13,2229,1
13,2805,1
13,2150,1
13,2151,3
13,71,8
13,1005,1
13,711,2
14,5918,2
14,5688,1
14,5690,1
14,0,1
14,41,4
14,51,10
14,61,11
14,71,8
14,1005,4
14,611,6
14,711,6
15,3390,1
15,3119,1
15,3130,1
15,3191,1
15,0,1
15,41,8
15,51,10
15,61,12
15,1005,1
15,1120,1
15,611,5
16,5915,1
16,5900,1
16,0,4
16,41,8
16,51,10
16,61,11
16,71,2
16,1005,1
16,1120,1
16,611,5
16,711,6
17,2002,2
17,2229,1
17,2805,1
17,2150,1
17,2151,3
17,71,8
17,1005,1
17,711,2
18,5918,2
18,5688,1
18,5690,1
18,0,1
18,41,4
18,51,10
18,61,11
18,71,8
18,1005,4
18,611,6
18,711,6
19,5918,2
19,5688,1
19,5690,1
19,0,1
19,41,4
19,51,10
19,61,11
19,71,8
19,1005,4
19,611,6
19,711,6
20,3390,1
20,3119,1
20,3130,1
20,3191,1
20,0,1
20,41,8
20,51,10
20,61,12
20,1005,1
20,1120,1
20,611,5
21,3390,1
21,3119,1
21,3130,1
21,3191,1
21,0,1
21,41,8
21,51,11
21,61,12
21,1005,1
21,1120,1
21,611,5
22,5916,1
22,5900,1
22,0,4
22,41,8
22,51,11
22,61,11
22,71,2
22,1005,1
22,1120,1
22,611,5
22,711,6
23,5916,1
23,5900,1
23,0,4
23,41,8
23,51,11
23,61,11
23,71,2
23,1005,1
23,1120,1
