id_carrera,nombre
65,INGENIERÍA MECÁNICA ELÉCTRICA
69,INGENIERÍA MECÁNICA ADMINISTRATIVA
72,INGENIERÍA MECÁNICA
78,INGENIERÍA EN ELECTRICIDAD Y AUTOMATIZACIÓN
80,INGENIERÍA EN MECATRÓNICA
75,INGENIERÍA EN COMPUTACIÓN
74,INGENIERÍA EN INFORMÁTICA
68,INGENIERÍA AGROINDUSTRIAL
77,INGENIERÍA AMBIENTAL
63,INGENIERÍA CIVIL
64,INGENIERÍA EN GEOLOGÍA
76,INGENIERÍA METALÚRGICA Y DE MATERIALES
81,INGENIERÍA EN TOPOGRAFÍA Y CONSTRUCCIÓN
79,INGENIERÍA EN GEOMÁTICA
67,INGENIERO TOPOGRAFO HIDROLOGO
99,MOVILIDAD INTERNACIONAL
98,MOVILIDAD NACIONAL
97,MOVILIDAD LOCAL
82,INGENIERÍA EN GEOINFORMÁTICA
83,INGENIERIA EN SISTEMAS INTELIGENTES
41,SEMESTRE PROPEDEUTICO DE INGENIERÍA CIVIL
42,SEMESTRE PROPEDEUTICO DE INGENIERÍA EN GEOLOGÍA
43,SEMESTRE PROPEDEUTICO DE INGENIERÍA MECÁNICA ELÉCTRICA
44,SEMESTRE PROPEDEUTICO DE INGENIERÍA AGROINDUSTRIAL
45,SEMESTRE PROPEDEUTICO DE INGENIERÍA MECÁNICA ADMINISTRATIVA
46,SEMESTRE PROPEDEUTICO DE INGENIERÍA MECÁNICA
47,SEMESTRE PROPEDEUTICO DE INGENIERÍA EN COMPUTACIÓN
48,SEMESTRE PROPEDEUTICO DE INGENIERÍA METALÚRGICA Y DE MATERIALES
49,SEMESTRE PROPEDEUTICO DE INGENIERÍA AMBIENTAL
50,SEMESTRE PROPEDEUTICO DE INGENIERÍA EN ELECTRICIDAD Y AUTOMATIZACIÓN
51,SEMESTRE PROPEDEUTICO DE INGENIERÍA EN MECATRÓNICA
52,SEMESTRE PROPEDEUTICO DE INGENIERÍA EN TOPOGRAFÍA Y CONSTRUCCIÓN
53,SEMESTRE PROPEDEUTICO DE INGENIERÍA EN GEOINFORMÁTICA
54,SEMESTRE PROPEDEUTICO DE INGENIERÍA EN SISTEMAS INTELIGENTES
